time,value,port,component
00:00:10:000,20,out,generator_con
00:00:20:000,1,packetSentOut,sender1
00:00:20:000,11,dataOut,sender1
00:00:23:000,11,out,subnet1
00:00:33:000,1,out,receiver1
00:00:36:000,1,out,subnet2
00:00:36:000,1,ackReceivedOut,sender1
00:00:46:000,2,packetSentOut,sender1
00:00:46:000,20,dataOut,sender1
00:00:49:000,20,out,subnet1
00:00:59:000,0,out,receiver1
00:01:02:000,0,out,subnet2
00:01:02:000,0,ackReceivedOut,sender1
00:01:12:000,3,packetSentOut,sender1
00:01:12:000,31,dataOut,sender1
00:01:15:000,31,out,subnet1
00:01:25:000,1,out,receiver1
00:01:28:000,1,out,subnet2
00:01:28:000,1,ackReceivedOut,sender1
00:01:38:000,4,packetSentOut,sender1
00:01:38:000,40,dataOut,sender1
00:01:41:000,40,out,subnet1
00:01:51:000,0,out,receiver1
00:01:54:000,0,out,subnet2
00:01:54:000,0,ackReceivedOut,sender1
00:02:04:000,5,packetSentOut,sender1
00:02:04:000,51,dataOut,sender1
00:02:07:000,51,out,subnet1
00:02:17:000,1,out,receiver1
00:02:20:000,1,out,subnet2
00:02:20:000,1,ackReceivedOut,sender1
00:02:30:000,6,packetSentOut,sender1
00:02:30:000,60,dataOut,sender1
00:02:33:000,60,out,subnet1
00:02:43:000,0,out,receiver1
00:02:46:000,0,out,subnet2
00:02:46:000,0,ackReceivedOut,sender1
00:02:56:000,7,packetSentOut,sender1
00:02:56:000,71,dataOut,sender1
00:02:59:000,71,out,subnet1
00:03:09:000,1,out,receiver1
00:03:12:000,1,out,subnet2
00:03:12:000,1,ackReceivedOut,sender1
00:03:22:000,8,packetSentOut,sender1
00:03:22:000,80,dataOut,sender1
00:03:52:000,8,packetSentOut,sender1
00:03:52:000,80,dataOut,sender1
00:03:55:000,80,out,subnet1
00:04:05:000,0,out,receiver1
00:04:08:000,0,out,subnet2
00:04:08:000,0,ackReceivedOut,sender1
00:04:18:000,9,packetSentOut,sender1
00:04:18:000,91,dataOut,sender1
00:04:21:000,91,out,subnet1
00:04:31:000,1,out,receiver1
00:04:34:000,1,out,subnet2
00:04:34:000,1,ackReceivedOut,sender1
00:04:44:000,10,packetSentOut,sender1
00:04:44:000,100,dataOut,sender1
00:04:47:000,100,out,subnet1
00:04:57:000,0,out,receiver1
00:05:00:000,0,out,subnet2
00:05:00:000,0,ackReceivedOut,sender1
00:05:10:000,11,packetSentOut,sender1
00:05:10:000,111,dataOut,sender1
00:05:13:000,111,out,subnet1
00:05:23:000,1,out,receiver1
00:05:26:000,1,out,subnet2
00:05:26:000,1,ackReceivedOut,sender1
00:05:36:000,12,packetSentOut,sender1
00:05:36:000,120,dataOut,sender1
00:05:39:000,120,out,subnet1
00:05:49:000,0,out,receiver1
00:05:52:000,0,out,subnet2
00:05:52:000,0,ackReceivedOut,sender1
00:06:02:000,13,packetSentOut,sender1
00:06:02:000,131,dataOut,sender1
00:06:05:000,131,out,subnet1
00:06:15:000,1,out,receiver1
00:06:18:000,1,out,subnet2
00:06:18:000,1,ackReceivedOut,sender1
00:06:28:000,14,packetSentOut,sender1
00:06:28:000,140,dataOut,sender1
00:06:31:000,140,out,subnet1
00:06:41:000,0,out,receiver1
00:06:44:000,0,out,subnet2
00:06:44:000,0,ackReceivedOut,sender1
00:06:54:000,15,packetSentOut,sender1
00:06:54:000,151,dataOut,sender1
00:06:57:000,151,out,subnet1
00:07:07:000,1,out,receiver1
00:07:10:000,1,out,subnet2
00:07:10:000,1,ackReceivedOut,sender1
00:07:20:000,16,packetSentOut,sender1
00:07:20:000,160,dataOut,sender1
00:07:23:000,160,out,subnet1
00:07:33:000,0,out,receiver1
00:07:36:000,0,out,subnet2
00:07:36:000,0,ackReceivedOut,sender1
00:07:46:000,17,packetSentOut,sender1
00:07:46:000,171,dataOut,sender1
00:07:49:000,171,out,subnet1
00:07:59:000,1,out,receiver1
00:08:02:000,1,out,subnet2
00:08:02:000,1,ackReceivedOut,sender1
00:08:12:000,18,packetSentOut,sender1
00:08:12:000,180,dataOut,sender1
00:08:15:000,180,out,subnet1
00:08:25:000,0,out,receiver1
00:08:28:000,0,out,subnet2
00:08:28:000,0,ackReceivedOut,sender1
00:08:38:000,19,packetSentOut,sender1
00:08:38:000,191,dataOut,sender1
00:08:41:000,191,out,subnet1
00:08:51:000,1,out,receiver1
00:08:54:000,1,out,subnet2
00:08:54:000,1,ackReceivedOut,sender1
00:09:04:000,20,packetSentOut,sender1
00:09:04:000,200,dataOut,sender1
00:09:07:000,200,out,subnet1
00:09:17:000,0,out,receiver1
00:09:20:000,0,out,subnet2
00:09:20:000,0,ackReceivedOut,sender1
